,InitComp,Temp,Nc,Nh,Ncc,Nch,Nhh,CDegDist,HDegDist,r,Nc3h,Nc4h
C8H18_4000K_1040at_1,C8H18,4000,320,720,273.4469830345711,683.9513044174136,17.259002880921894,"[0.00000000e+00 7.62744078e-06 5.03898748e-03 1.48009488e-01
 8.42442457e-01 4.50144046e-03]",[2.48629561e-03 9.97153367e-01 3.60337530e-04],-0.5401644624719957,41.09539052496799,638.9027288732394
C8H18_4000K_1040at_2,C8H18,4000,320,720,272.675563202753,688.0737065343524,15.22472089952383,"[0.00000000e+00 5.00180065e-06 4.45785483e-03 1.41121429e-01
 8.49911968e-01 4.50374635e-03]",[2.37918984e-03 9.97292803e-01 3.28006971e-04],-0.5462216013030201,39.35384738505862,644.7922051938698
C2H6_3300K_1,C2H6,3300,250,750,137.49984881862554,719.1194764804976,15.121420241026305,"[0.00000000e+00 0.00000000e+00 1.34594618e-04 2.41876377e-02
 9.74744244e-01 9.33523390e-04]",[8.81459404e-04 9.99087325e-01 3.12153543e-05],-0.6862119211709659,8.181547233380847,710.2869854433934
C2H6_3300K_2,C2H6,3300,250,750,137.00783164158207,720.5441897094855,14.422121106055302,"[0.00000000e+00 0.00000000e+00 1.05180259e-04 2.24572979e-02
 9.76530452e-01 9.07070354e-04]",[8.49259130e-04 9.99116906e-01 3.38350251e-05],-0.6884279110437639,7.984117955897795,711.9270651032551
C2H6_4000K_1,C2H6,4000,250,750,146.59977982385908,686.1548238590873,30.828462770216174,"[0.00000000e+00 6.00480384e-06 2.11729384e-03 8.16693355e-02
 9.12867894e-01 3.33947158e-03]",[3.15919402e-03 9.96599279e-01 2.41526555e-04],-0.6304890100474324,26.482686148919136,657.0970776621297
C2H6_4000K_2,C2H6,4000,250,750,145.26003403062757,689.9499549594635,28.982083875487938,[0.         0.         0.00198579 0.07736163 0.9174393  0.00321329],[3.01124345e-03 9.96758683e-01 2.30073733e-04],-0.6363285955135335,26.15523971574417,661.3142828545691
C2H6_4000K_1280at_1,C2H6,4000,320,960,189.38436362148673,875.6315509552837,40.90430798183529,"[0.00000000e+00 1.02278771e-05 2.68929244e-03 7.79080412e-02
 9.16074515e-01 3.31792333e-03]",[2.91281417e-03 9.96840864e-01 2.46321374e-04],-0.6231625819870044,33.3674671685145,838.9950497074827
C2H6_4000K_1280at_2,C2H6,4000,320,960,187.02267954640908,880.0017639647207,38.71402771944561,"[0.00000000e+00 3.67492650e-06 2.31835363e-03 7.97644110e-02
 9.14604683e-01 3.30887757e-03]",[2.92532899e-03 9.96826613e-01 2.48057539e-04],-0.6330583319059281,33.03557328853423,843.7010919781604
CH4_3300K_2,CH4,3300,160,640,32.63958876339415,573.4792519961937,32.890343800421995,"[0.00000000e+00 0.00000000e+00 2.10738075e-05 7.97313930e-03
 9.91750315e-01 2.55471433e-04]",[1.17712729e-03 9.98802090e-01 2.07829113e-05],-0.7948961842461103,2.7918580116668736,570.5459021141037
CH4_3600K_1,CH4,3600,160,640,32.88046449800607,573.1692207368765,33.03044819543026,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 6.99333475e-03
 9.92699895e-01 3.06770585e-04]",[1.22375129e-03 9.98755439e-01 2.08092975e-05],-0.7935291154195104,2.5397155827543827,570.4721978380277
CH4_3600K_2,CH4,3600,160,640,43.296132796365136,551.5963444857497,43.841594382486576,"[0.00000000e+00 0.00000000e+00 6.47007951e-05 1.15041563e-02
 9.88118772e-01 3.12370921e-04]",[1.14872147e-03 9.98828286e-01 2.29921778e-05],-0.7276915792981146,3.6709520859149114,547.7658508880628
CH4_4500K_1,CH4,4500,160,640,66.56217460953144,492.4150981177413,71.85662795354425,"[0.00000000e+00 1.62695234e-05 3.90468562e-03 8.67684972e-02
 9.05063576e-01 4.24697137e-03]",[6.51078169e-03 9.93027883e-01 4.61334852e-04],-0.569055373447749,23.98668402082499,465.8691429715659
CH4_4500K_2,CH4,4500,160,640,65.71234110699629,494.03152837553796,71.03483134821339,"[0.00000000e+00 2.81503353e-05 4.51030928e-03 8.62100891e-02
 9.04838730e-01 4.41272145e-03]",[6.57419803e-03 9.92943493e-01 4.82309078e-04],-0.571723307607383,25.03953558202382,466.22600340306275
mix_3500K_1,mix,3500,240,732,126.71685768863419,699.3808022922636,15.857736389684813,"[0.00000000e+00 0.00000000e+00 1.71521808e-04 3.07736390e-02
 9.67877666e-01 1.17717287e-03]",[1.29376934e-03 9.98647058e-01 5.91724469e-05],-0.6945351075904836,10.28142311365807,688.2859598853868
mix_3500K_2,mix,3500,240,732,127.18625295557307,698.2560667026175,16.39154602397644,"[0.00000000e+00 0.00000000e+00 2.61853404e-04 3.14165319e-02
 9.67095830e-01 1.22578504e-03]",[1.37020039e-03 9.98572224e-01 5.75757308e-05],-0.691487232719123,10.943916704691583,686.4582901232008
